pipeline_id,execution_time,records_processed,error_count,cpu_usage,memory_usage,data_delay,status
39,148.5737507160414,17035,0,58.94543864043721,66.29668849792125,19.269434916004457,0
29,156.2246077176419,19749,14,69.92616709330784,31.052621439802504,19.387411419026492,1
15,231.4384289545356,5701,12,86.55103342888586,72.51405105722492,5.855814969399603,1
43,182.1314451791702,8417,6,84.92794630618192,81.23996169671949,7.590156189296399,0
8,284.5200254065209,10558,9,52.64301245947021,70.03769525797532,14.600944136473434,1
21,273.3819168930379,12057,10,48.65414179670778,86.54272898846244,21.858315681366584,1
39,283.6849223110431,10214,2,58.2381762576459,47.96706346738394,25.58394309007368,0
19,154.1743503178389,12322,2,69.02524910055415,42.47866117996826,2.594545441227681,0
23,224.54456060707858,16886,2,72.34030268954504,75.32307609829829,27.76859747016637,0
11,176.1237955531065,12036,9,65.74825545731674,42.25634164302128,27.831949876379248,1
11,216.39359091166452,15060,11,79.78540699888042,35.9218171593921,0.23801226293917788,1
24,159.71931286280198,18873,12,65.65353661583426,36.27997945507802,15.192287270259063,1
36,261.30781837757274,14607,2,96.77974059632768,79.94557705967168,17.614327921239862,1
40,160.6534224898057,3334,1,55.65813087889216,31.867924608426787,16.611402873703224,0
24,102.63804876644512,17096,5,77.64232724020567,48.814685814548,18.473149725845808,0
3,301.6890407871581,1202,13,76.6826763196079,38.39711664636499,15.10053845588819,1
22,222.1248339783965,1230,9,56.89448331293704,79.06915954196784,8.814207413000277,1
2,146.5436617790936,12320,2,64.70125747084164,62.72705056224396,2.871131584821449,0
24,191.88644424654314,12683,0,61.92841716639825,43.35700694234837,6.251382317659612,0
44,171.1571452641558,3962,9,50.349943601229356,78.77670841233237,22.207653413639324,1
30,200.28707234022198,3327,12,68.63771275789264,78.77382309398061,7.231905558959278,1
38,240.13904179574104,3784,12,63.19973518131049,63.99647205946229,24.891310068831892,1
2,232.28895464518155,14485,8,50.69904160402956,47.93023615858863,12.104651010135761,0
21,212.6864510254257,1803,5,66.99280272506569,68.1080114520444,12.434275646943743,0
33,200.26265566547545,13553,5,65.31063809552435,90.67945654902246,26.054962235457946,0
12,253.93353787640052,15582,9,47.88194065956758,33.35636519570422,6.428664848291845,1
22,103.72708908315532,12093,8,47.87125251508065,47.3517400304165,5.688577100994948,0
44,162.55336533697812,7396,1,78.85044279074185,48.52299770052407,29.56219216583495,0
25,151.0668583371916,15810,9,82.39484828302623,71.06775813301738,16.21813320774207,1
49,250.31288865014457,17559,8,96.47082519453429,72.32568578302657,5.715621121729683,1
27,163.04536921607644,10636,13,45.22028142766599,43.410500671341374,4.974144901345125,1
42,135.7022303854776,16306,14,47.07168954269521,44.04653884806319,25.849949079780178,1
28,227.46637730584663,13195,11,43.10908770807466,90.33382449374602,17.995379014124143,1
16,154.56262095451373,6691,2,71.9337058454158,79.15942314808271,3.4511476284529783,0
15,182.46367587458212,4532,2,77.36479685771359,90.72753040456178,26.607242656687802,0
47,319.0571950440849,17223,2,64.21140711592946,83.9280942305754,13.317150170418625,1
44,239.35692770017366,18927,0,87.87413325766796,56.1376687171404,29.680718163911745,1
3,189.44796962926625,11346,9,81.20196616022801,37.923996394935926,8.45280983057663,1
37,193.94359370279082,14482,14,99.1504252568116,70.92077380668795,15.86451694344618,1
7,245.3743793110736,6456,6,48.273698997980716,52.87941904674753,5.193008421978922,0
21,233.14352150523155,4413,9,43.49893986055008,57.651779388468206,13.191179360699662,1
9,203.77997447254685,8085,12,56.48822233416327,57.68218316136378,5.296126470280065,1
39,205.17799711197122,10332,6,41.143011719010644,90.87377540817383,9.216932595567949,0
18,126.0075759781014,5807,1,95.95668567199075,34.47605724751858,8.09597213459906,1
4,115.49947249655317,8386,5,58.237099521290524,42.55174449553299,8.49281796771576,0
25,191.15888621132478,2940,3,73.14581001828753,69.51628661597124,29.094789341739936,0
14,168.33574073269278,1656,10,59.08417797272452,87.44427428264808,1.1533945736454931,1
9,229.30395171701818,3503,6,54.74851731932941,89.66627237154941,14.90584576120229,0
